rmse,n_estimators,max_depth,max_features
7.980611466086317,441.69205312431325,18.770697600498075,3.9145401681495913
7.7169310310722175,323.8418231276677,15.410150123855303,78.17789530623293
7.762213636347659,168.85244181018038,11.27306387970036,38.211008691366196
7.867319294162178,164.3483763413265,6.498858804766863,36.20144930869845
7.712202492846341,386.86673299780676,19.84845014848855,10.510536845925643
7.70098932145853,307.55727858381084,18.38222681590837,27.413459301254324
7.722855648500038,168.040900361939,15.630351079007054,49.05912212589086
7.965083173580433,335.33951166065805,5.917848921750899,28.94334858738995
7.761972464805364,59.387546604612716,10.299030810259065,85.45077555325089
7.803697710119438,432.63852476352866,7.549226096722174,85.29040863710122
